,episode_id,transition_id,state,action,immediate_reward,delayed_reward,done,next_state,info,reward,weight,priority,pred_action,pred_reward
76,213,24,[-0.00457704 -0.73914228 -0.03667388  0.67836895],1,1.0,0.0,False,[-0.01935989 -0.54353055 -0.0231065   0.37436894],{},1.0,0.00023293733985557886,1.0,1.0,7.135986804962158
77,213,25,[-0.01935989 -0.54353055 -0.0231065   0.37436894],0,1.0,0.0,False,[-0.0302305  -0.73831679 -0.01561912  0.6596776 ],{},1.0,0.00023293733985557886,1.0,1.0,7.244107246398926
78,213,26,[-0.0302305  -0.73831679 -0.01561912  0.6596776 ],1,1.0,0.0,False,[-0.04499683 -0.54298099 -0.00242557  0.36211781],{},1.0,0.00023293733985557886,1.0,1.0,7.123508930206299
79,213,27,[-0.04499683 -0.54298099 -0.00242557  0.36211781],1,1.0,0.0,False,[-0.05585645 -0.34782464  0.00481679  0.06867104],{},1.0,0.00023293733985557886,1.0,1.0,7.227633476257324
80,213,28,[-0.05585645 -0.34782464  0.00481679  0.06867104],1,1.0,0.0,False,[-0.06281294 -0.15277208  0.00619021 -0.22248828],{},1.0,0.00023293733985557886,1.0,1.0,7.30673885345459
81,213,29,[-0.06281294 -0.15277208  0.00619021 -0.22248828],0,1.0,0.0,False,[-0.06586839 -0.34798196  0.00174044  0.07214084],{},1.0,0.00023293733985557886,1.0,1.0,7.30853796005249
82,213,30,[-0.06586839 -0.34798196  0.00174044  0.07214084],1,1.0,0.0,False,[-0.07282803 -0.152885    0.00318326 -0.21999247],{},1.0,0.00023293733985557886,1.0,1.0,7.3110151290893555
83,213,31,[-0.07282803 -0.152885    0.00318326 -0.21999247],1,1.0,0.0,False,[-0.07588573  0.0421913  -0.00121659 -0.51166956],{},1.0,0.00023293733985557886,1.0,1.0,7.314352035522461
84,213,32,[-0.07588573  0.0421913  -0.00121659 -0.51166956],0,1.0,0.0,False,[-0.0750419  -0.15291349 -0.01144998 -0.21937027],{},1.0,0.00023293733985557886,1.0,1.0,7.26872444152832
85,213,33,[-0.0750419  -0.15291349 -0.01144998 -0.21937027],0,1.0,0.0,False,[-0.07810017 -0.34786992 -0.01583739  0.06967898],{},1.0,0.00023293733985557886,1.0,1.0,7.322466850280762
